,Hole,Round,Birdie,Bogey,Double Bogey,Eagle,Other,Par
41,11,1,"Dustin Johnson, Rickie Fowler, Jon Rahm, Kevin Kisner, Kyle Stanley, Louis Oosthuizen, Marc Leishman","Xander Schauffele, Francesco Molinari, Matt Kuchar, Phil Mickelson, Rory McIlroy, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Alvaro Ortiz, Patrick Reed, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, Sandy Lyle, Fred Couples, Charl Schwartzel, Larry Mize, Michael Kim, Vijay Singh, Angel Cabrera, Jose Maria Olazabal",Kevin O'Connell,NA,Ian Woosnam,"Tiger Woods, Brooks Koepka, Jason Day, Tony Finau, Webb Simpson, Patrick Cantlay, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Charley Hoffman, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Henrik Stenson, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Justin Rose, Mike Weir, Danny Willett, Adam Long, Brandt Snedeker, Shugo Imahira, Shane Lowry, Jovan Rebula, Matt Wallace, Paul Casey"
42,11,2,Tiger Woods,"Rickie Fowler, Aaron Wise, Kevin Kisner, Rory McIlroy, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Eddie Pepperell, Cameron Smith, Billy Horschel, Alex Noren, Justin Rose, Mike Weir, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera","Emiliano Grillo, Jovan Rebula, Matt Wallace",NA,NA,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Andrew Landry, Marc Leishman, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Paul Casey, Jose Maria Olazabal"
43,11,3,"Patrick Cantlay, Kevin Kisner, Thorbjorn Olesen, Louis Oosthuizen, Keith Mitchell","Matt Kuchar, Ian Poulter, Rory McIlroy, Charles Howell III, Gary Woodland, Patrick Reed, Andrew Landry, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Bernhard Langer",Alex Noren,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Branden Grace, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
44,11,4,"Xander Schauffele, Patrick Cantlay, Si Woo Kim, Kevin Kisner, Charles Howell III, Rafa Cabrera Bello, Jimmy Walker, Haotong Li","Ian Poulter, Patton Kizzire, Adam Scott, Thorbjorn Olesen, Tommy Fleetwood, Andrew Landry, Marc Leishman, Eddie Pepperell, Cameron Smith, Devon Bling, Branden Grace, Takumi Kanaya","Bryson DeChambeau, Billy Horschel",NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Rory McIlroy, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Keegan Bradley, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren"
45,12,1,"Brooks Koepka, Patrick Cantlay, Rickie Fowler, Phil Mickelson, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Trevor Immelman, Emiliano Grillo, Sergio Garcia, Mike Weir, Jovan Rebula, Matt Wallace, Vijay Singh","Patton Kizzire, Adam Scott, Kevin Kisner, Kevin Na, Tyrrell Hatton, Kevin O'Connell, Charl Schwartzel, Shane Lowry, Larry Mize, Paul Casey, Ian Woosnam, Angel Cabrera","Si Woo Kim, Fred Couples, Adam Long",NA,NA,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Lucas Bjerregaard, Matthew Fitzpatrick, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sandy Lyle, Justin Rose, Danny Willett, Brandt Snedeker, Shugo Imahira, Michael Kim, Jose Maria Olazabal"
46,12,2,"Francesco Molinari, Justin Harding, Ian Poulter, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Louis Oosthuizen, Hideki Matsuyama, Tommy Fleetwood, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Stewart Cink, Sandy Lyle, Kevin O'Connell, Justin Rose","Jason Day, Bubba Watson, Bryson DeChambeau, Charley Hoffman, Zach Johnson, Satoshi Kodaira, Mike Weir, Fred Couples, Shugo Imahira, Paul Casey",Jovan Rebula,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Justin Thomas, Aaron Wise, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Danny Willett, Adam Long, Charl Schwartzel, Brandt Snedeker, Shane Lowry, Larry Mize, Matt Wallace, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
47,12,3,"Jason Day, Francesco Molinari, Justin Harding, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Jordan Spieth, Rafa Cabrera Bello, Alvaro Ortiz, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Devon Bling, Takumi Kanaya","Matt Kuchar, Si Woo Kim, Kyle Stanley, Louis Oosthuizen, Jimmy Walker, Keith Mitchell, Cameron Smith, Alex Noren",Bernhard Langer,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Patton Kizzire, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
48,12,4,"Justin Harding, Justin Thomas, Matthew Fitzpatrick, Bryson DeChambeau, Kevin Na, Marc Leishman","Rickie Fowler, Matt Kuchar, Aaron Wise, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Henrik Stenson, Devon Bling","Brooks Koepka, Tony Finau, Francesco Molinari, Ian Poulter, Kevin Tway, Cameron Smith, Emiliano Grillo",NA,"Corey Conners, J.B. Holmes","Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Webb Simpson, Patrick Cantlay, Jon Rahm, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Rory McIlroy, Jordan Spieth, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Bernhard Langer, Alex Noren"
49,13,1,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Patrick Cantlay, Jon Rahm, Ian Poulter, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Jimmy Walker, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Takumi Kanaya, J.B. Holmes, Alex Noren, Kevin O'Connell, Danny Willett, Fred Couples, Jovan Rebula, Vijay Singh","Alvaro Ortiz, Eddie Pepperell, Adam Long, Shane Lowry, Ian Woosnam",Andrew Landry,"Webb Simpson, Matt Kuchar, Patrick Reed, Kiradech Aphibarnrat",Henrik Stenson,"Francesco Molinari, Rickie Fowler, Justin Harding, Justin Thomas, Bubba Watson, Aaron Wise, Adam Scott, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Kevin Tway, Keegan Bradley, Keith Mitchell, Trevor Immelman, Branden Grace, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Stewart Cink, Sergio Garcia, Sandy Lyle, Justin Rose, Mike Weir, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Matt Wallace, Paul Casey, Michael Kim, Angel Cabrera, Jose Maria Olazabal"
50,13,2,"Dustin Johnson, Xander Schauffele, Jason Day, Patrick Cantlay, Justin Harding, Ian Poulter, Phil Mickelson, Adam Scott, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Mike Weir, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Shugo Imahira, Shane Lowry, Larry Mize, Paul Casey","Rory McIlroy, Hideki Matsuyama, Tommy Fleetwood, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Takumi Kanaya, Angel Cabrera, Jose Maria Olazabal",Michael Kim,"Matt Kuchar, Bubba Watson, Matthew Fitzpatrick, Viktor Hovland, Charles Howell III, Justin Rose",NA,"Tiger Woods, Brooks Koepka, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Thomas, Aaron Wise, Patton Kizzire, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Bryson DeChambeau, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Haotong Li, Keith Mitchell, Andrew Landry, Marc Leishman, Devon Bling, Bernhard Langer, Brandt Snedeker, Jovan Rebula, Matt Wallace, Vijay Singh, Ian Woosnam"
51,13,3,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Justin Harding, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Henrik Stenson, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Zach Johnson, Emiliano Grillo, Alex Noren","Patton Kizzire, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Takumi Kanaya",NA,"Webb Simpson, Rickie Fowler, Jon Rahm",NA,"Jason Day, Patrick Cantlay, Justin Thomas, Phil Mickelson, Jordan Spieth, Louis Oosthuizen, Charles Howell III, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Kevin Tway, Jimmy Walker, Andrew Landry, Kevin Na, Tyrrell Hatton, Satoshi Kodaira, J.B. Holmes, Bernhard Langer"
52,13,4,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Jordan Spieth, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Billy Horschel, Bernhard Langer","Thorbjorn Olesen, Branden Grace, J.B. Holmes",Louis Oosthuizen,"Brooks Koepka, Rory McIlroy, Kevin Na, Emiliano Grillo",NA,"Patrick Cantlay, Matt Kuchar, Phil Mickelson, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Kevin Tway, Corey Conners, Kiradech Aphibarnrat, Marc Leishman, Eddie Pepperell, Cameron Smith, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Alex Noren"
53,14,1,"Tiger Woods, Brooks Koepka, Si Woo Kim, Kevin Kisner, Corey Conners, Andrew Landry","Xander Schauffele, Bubba Watson, Aaron Wise, Matthew Fitzpatrick, Bryson DeChambeau, Tommy Fleetwood, Patrick Reed, Marc Leishman, Trevor Immelman, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Satoshi Kodaira, Stewart Cink, Sandy Lyle, Kevin O'Connell, Charl Schwartzel, Shugo Imahira, Matt Wallace, Vijay Singh, Ian Woosnam, Angel Cabrera",Keith Mitchell,NA,NA,"Dustin Johnson, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Cameron Smith, Branden Grace, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Michael Kim, Jose Maria Olazabal"
54,14,2,"Tiger Woods, Xander Schauffele, Justin Harding, Aaron Wise, Patton Kizzire, Jordan Spieth, Alvaro Ortiz, Bernhard Langer, Mike Weir, Danny Willett, Vijay Singh","Patrick Cantlay, Matt Kuchar, Ian Poulter, Charley Hoffman, Gary Woodland, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Devon Bling, Billy Horschel, Satoshi Kodaira, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Shugo Imahira, Matt Wallace, Paul Casey, Michael Kim, Ian Woosnam","Brandt Snedeker, Jovan Rebula",NA,NA,"Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Thomas, Bubba Watson, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Marc Leishman, Trevor Immelman, Cameron Smith, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Alex Noren, Stewart Cink, Justin Rose, Fred Couples, Adam Long, Charl Schwartzel, Shane Lowry, Larry Mize, Angel Cabrera, Jose Maria Olazabal"
55,14,3,"Jason Day, Francesco Molinari, Webb Simpson, Patrick Cantlay, Matt Kuchar, Bubba Watson, Aaron Wise, Patton Kizzire, Kyle Stanley, Viktor Hovland, Hideki Matsuyama, Alvaro Ortiz, Jimmy Walker, Eddie Pepperell, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, Bernhard Langer","Brooks Koepka, Justin Harding, Kevin Kisner, Charles Howell III, Rafa Cabrera Bello, Henrik Stenson, Kevin Tway, Keegan Bradley, Trevor Immelman",NA,NA,NA,"Tiger Woods, Dustin Johnson, Xander Schauffele, Tony Finau, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Gary Woodland, Tommy Fleetwood, Patrick Reed, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Alex Noren"
56,14,4,"Xander Schauffele, Webb Simpson, Rickie Fowler, Bubba Watson, Patton Kizzire, Charley Hoffman, Viktor Hovland, Keegan Bradley, Haotong Li, Kiradech Aphibarnrat, Bernhard Langer","Justin Thomas, Rafa Cabrera Bello, Alvaro Ortiz, Keith Mitchell, Andrew Landry, Marc Leishman, Martin Kaymer, Billy Horschel, Branden Grace, Takumi Kanaya",NA,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Aaron Wise, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Corey Conners, Kevin Na, Trevor Immelman, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren"
57,15,1,"Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Rickie Fowler, Justin Harding, Ian Poulter, Bubba Watson, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Rory McIlroy, Bryson DeChambeau, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Keegan Bradley, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Takumi Kanaya, Kevin O'Connell, Justin Rose, Mike Weir, Danny Willett, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Ian Woosnam","Matt Kuchar, Louis Oosthuizen, Charles Howell III, Sandy Lyle, Larry Mize","Fred Couples, Michael Kim","Keith Mitchell, Corey Conners, Matt Wallace",Stewart Cink,"Tiger Woods, Dustin Johnson, Jason Day, Webb Simpson, Patrick Cantlay, Jon Rahm, Justin Thomas, Aaron Wise, Patton Kizzire, Matthew Fitzpatrick, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Alvaro Ortiz, Kevin Tway, Jimmy Walker, Haotong Li, Marc Leishman, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Adam Long, Shane Lowry, Jovan Rebula, Paul Casey, Vijay Singh, Angel Cabrera, Jose Maria Olazabal"
58,15,2,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Rickie Fowler, Justin Harding, Matt Kuchar, Aaron Wise, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Kevin Tway, Keegan Bradley, Corey Conners, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Takumi Kanaya, Satoshi Kodaira, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Charl Schwartzel, Brandt Snedeker, Jovan Rebula, Michael Kim, Ian Woosnam, Jose Maria Olazabal","Kevin Na, Emiliano Grillo, Justin Rose, Shane Lowry",NA,"Justin Thomas, Adam Scott, Lucas Bjerregaard, Alvaro Ortiz, Kevin O'Connell",NA,"Webb Simpson, Patrick Cantlay, Jon Rahm, Ian Poulter, Bubba Watson, Patton Kizzire, Phil Mickelson, Rory McIlroy, Jordan Spieth, Kyle Stanley, Viktor Hovland, Charles Howell III, Gary Woodland, Patrick Reed, Henrik Stenson, Jimmy Walker, Haotong Li, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Devon Bling, Branden Grace, Zach Johnson, J.B. Holmes, Sandy Lyle, Mike Weir, Danny Willett, Fred Couples, Adam Long, Shugo Imahira, Larry Mize, Matt Wallace, Paul Casey, Vijay Singh, Angel Cabrera"
59,15,3,"Tiger Woods, Dustin Johnson, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keith Mitchell, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Bernhard Langer","Xander Schauffele, Patton Kizzire, Devon Bling","Jason Day, Andrew Landry, Tyrrell Hatton","Brooks Koepka, Lucas Bjerregaard, Rory McIlroy, Marc Leishman",NA,"Webb Simpson, Aaron Wise, Phil Mickelson, Adam Scott, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Alvaro Ortiz, Keegan Bradley, Haotong Li, Corey Conners, Martin Kaymer, Eddie Pepperell, Cameron Smith, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren"
60,15,4,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Rickie Fowler, Ian Poulter, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Takumi Kanaya","Justin Harding, Justin Thomas, Lucas Bjerregaard, Tommy Fleetwood, Andrew Landry, Marc Leishman, Branden Grace, Satoshi Kodaira","Francesco Molinari, Kevin Na, Bernhard Langer","Patrick Cantlay, Bubba Watson, Kyle Stanley",NA,"Xander Schauffele, Webb Simpson, Jon Rahm, Matt Kuchar, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Jordan Spieth, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Keegan Bradley, Cameron Smith, Zach Johnson, Emiliano Grillo, J.B. Holmes, Alex Noren"
