Hole,Round,Result,Players
9,4,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Hideki Matsuyama, Gary Woodland, Patrick Reed, Kevin Tway, Keegan Bradley, Haotong Li, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Bernhard Langer, Alex Noren"
9,4,Bogey,"Matthew Fitzpatrick, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Alvaro Ortiz, Jimmy Walker, Corey Conners, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
10,1,Birdie,"Brooks Koepka, Aaron Wise, Charles Howell III, Patrick Reed, Trevor Immelman, Zach Johnson, Michael Kim"
10,1,Par,"Tiger Woods, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Gary Woodland, Alvaro Ortiz, Kevin Tway, Jimmy Walker, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Cameron Smith, Devon Bling, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Stewart Cink, Sandy Lyle, Kevin O'Connell, Justin Rose, Mike Weir, Fred Couples, Adam Long, Charl Schwartzel, Brandt Snedeker, Larry Mize, Matt Wallace, Paul Casey, Ian Woosnam, Jose Maria Olazabal"
10,1,Bogey,"Dustin Johnson, Webb Simpson, Patrick Cantlay, Phil Mickelson, Si Woo Kim, Rory McIlroy, Kyle Stanley, Charley Hoffman, Tommy Fleetwood, Henrik Stenson, Keegan Bradley, Haotong Li, Andrew Landry, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Branden Grace, Takumi Kanaya, Bernhard Langer, Sergio Garcia, Shugo Imahira, Shane Lowry, Jovan Rebula, Vijay Singh, Angel Cabrera"
10,1,Double Bogey,"Hideki Matsuyama, Marc Leishman, Alex Noren"
10,1,Other,"Rafa Cabrera Bello, Danny Willett"
10,2,Birdie,"Dustin Johnson, Tony Finau, Jordan Spieth, Viktor Hovland, Keegan Bradley, Satoshi Kodaira, Stewart Cink"
10,2,Par,"Tiger Woods, Brooks Koepka, Xander Schauffele, Jason Day, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Alex Noren, Sandy Lyle, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Charl Schwartzel, Brandt Snedeker, Jovan Rebula, Paul Casey, Michael Kim, Angel Cabrera, Jose Maria Olazabal"
10,2,Bogey,"Webb Simpson, Justin Harding, Matt Kuchar, Phil Mickelson, Matthew Fitzpatrick, Si Woo Kim, Rafa Cabrera Bello, Alvaro Ortiz, Kevin Na, Martin Kaymer, Cameron Smith, Branden Grace, Bernhard Langer, Sergio Garcia, Adam Long, Shugo Imahira, Shane Lowry, Larry Mize, Matt Wallace, Vijay Singh, Ian Woosnam"
10,2,Double Bogey,"Bryson DeChambeau, Trevor Immelman, Kevin O'Connell"
10,3,Birdie,"Webb Simpson, Lucas Bjerregaard, Rory McIlroy, Jordan Spieth, Bryson DeChambeau, Viktor Hovland, Kevin Tway, Keith Mitchell, Cameron Smith, Tyrrell Hatton"
10,3,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Kyle Stanley, Louis Oosthuizen, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Devon Bling, Billy Horschel, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren"
10,3,Bogey,"Rickie Fowler, Justin Harding, Patton Kizzire, Charley Hoffman, Charles Howell III, Gary Woodland, Patrick Reed, Andrew Landry, Kevin Na, Marc Leishman, Martin Kaymer, Branden Grace, Emiliano Grillo"
10,3,Double Bogey,Kevin Kisner
10,4,Birdie,"Matt Kuchar, Aaron Wise, Gary Woodland, Andrew Landry"
10,4,Par,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Jordan Spieth, Kyle Stanley, Charley Hoffman, Viktor Hovland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Keegan Bradley, Keith Mitchell, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Branden Grace, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer"
10,4,Bogey,"Tiger Woods, Tony Finau, Justin Harding, Si Woo Kim, Thorbjorn Olesen, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Kevin Tway, Jimmy Walker, Haotong Li, Corey Conners, Marc Leishman, Devon Bling, Zach Johnson, Takumi Kanaya, J.B. Holmes, Alex Noren"
10,4,Double Bogey,"Phil Mickelson, Bryson DeChambeau"
11,1,Birdie,"Dustin Johnson, Rickie Fowler, Jon Rahm, Kevin Kisner, Kyle Stanley, Louis Oosthuizen, Marc Leishman"
11,1,Par,"Tiger Woods, Brooks Koepka, Jason Day, Tony Finau, Webb Simpson, Patrick Cantlay, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Jordan Spieth, Bryson DeChambeau, Charley Hoffman, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Henrik Stenson, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Justin Rose, Mike Weir, Danny Willett, Adam Long, Brandt Snedeker, Shugo Imahira, Shane Lowry, Jovan Rebula, Matt Wallace, Paul Casey"
11,1,Bogey,"Xander Schauffele, Francesco Molinari, Matt Kuchar, Phil Mickelson, Rory McIlroy, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Alvaro Ortiz, Patrick Reed, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, Sandy Lyle, Fred Couples, Charl Schwartzel, Larry Mize, Michael Kim, Vijay Singh, Angel Cabrera, Jose Maria Olazabal"
11,1,Double Bogey,Kevin O'Connell
11,1,Other,Ian Woosnam
11,2,Birdie,Tiger Woods
11,2,Par,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Andrew Landry, Marc Leishman, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Paul Casey, Jose Maria Olazabal"
11,2,Bogey,"Rickie Fowler, Aaron Wise, Kevin Kisner, Rory McIlroy, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Eddie Pepperell, Cameron Smith, Billy Horschel, Alex Noren, Justin Rose, Mike Weir, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera"
11,2,Double Bogey,"Emiliano Grillo, Jovan Rebula, Matt Wallace"
11,3,Birdie,"Patrick Cantlay, Kevin Kisner, Thorbjorn Olesen, Louis Oosthuizen, Keith Mitchell"
11,3,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Branden Grace, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
11,3,Bogey,"Matt Kuchar, Ian Poulter, Rory McIlroy, Charles Howell III, Gary Woodland, Patrick Reed, Andrew Landry, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Bernhard Langer"
11,3,Double Bogey,Alex Noren
11,4,Birdie,"Xander Schauffele, Patrick Cantlay, Si Woo Kim, Kevin Kisner, Charles Howell III, Rafa Cabrera Bello, Jimmy Walker, Haotong Li"
11,4,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Rory McIlroy, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Keegan Bradley, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Tyrrell Hatton, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren"
11,4,Bogey,"Ian Poulter, Patton Kizzire, Adam Scott, Thorbjorn Olesen, Tommy Fleetwood, Andrew Landry, Marc Leishman, Eddie Pepperell, Cameron Smith, Devon Bling, Branden Grace, Takumi Kanaya"
11,4,Double Bogey,"Bryson DeChambeau, Billy Horschel"
12,1,Birdie,"Brooks Koepka, Patrick Cantlay, Rickie Fowler, Phil Mickelson, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Trevor Immelman, Emiliano Grillo, Sergio Garcia, Mike Weir, Jovan Rebula, Matt Wallace, Vijay Singh"
12,1,Par,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Lucas Bjerregaard, Matthew Fitzpatrick, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes, Bernhard Langer, Alex Noren, Stewart Cink, Sandy Lyle, Justin Rose, Danny Willett, Brandt Snedeker, Shugo Imahira, Michael Kim, Jose Maria Olazabal"
12,1,Bogey,"Patton Kizzire, Adam Scott, Kevin Kisner, Kevin Na, Tyrrell Hatton, Kevin O'Connell, Charl Schwartzel, Shane Lowry, Larry Mize, Paul Casey, Ian Woosnam, Angel Cabrera"
12,1,Double Bogey,"Si Woo Kim, Fred Couples, Adam Long"
12,2,Birdie,"Francesco Molinari, Justin Harding, Ian Poulter, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Louis Oosthuizen, Hideki Matsuyama, Tommy Fleetwood, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Stewart Cink, Sandy Lyle, Kevin O'Connell, Justin Rose"
12,2,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Justin Thomas, Aaron Wise, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Viktor Hovland, Charles Howell III, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Danny Willett, Adam Long, Charl Schwartzel, Brandt Snedeker, Shane Lowry, Larry Mize, Matt Wallace, Michael Kim, Vijay Singh, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal"
12,2,Bogey,"Jason Day, Bubba Watson, Bryson DeChambeau, Charley Hoffman, Zach Johnson, Satoshi Kodaira, Mike Weir, Fred Couples, Shugo Imahira, Paul Casey"
12,2,Double Bogey,Jovan Rebula
12,3,Birdie,"Jason Day, Francesco Molinari, Justin Harding, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Jordan Spieth, Rafa Cabrera Bello, Alvaro Ortiz, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Devon Bling, Takumi Kanaya"
12,3,Par,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Ian Poulter, Justin Thomas, Patton Kizzire, Lucas Bjerregaard, Matthew Fitzpatrick, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Keegan Bradley, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
12,3,Bogey,"Matt Kuchar, Si Woo Kim, Kyle Stanley, Louis Oosthuizen, Jimmy Walker, Keith Mitchell, Cameron Smith, Alex Noren"
12,3,Double Bogey,Bernhard Langer
12,4,Birdie,"Justin Harding, Justin Thomas, Matthew Fitzpatrick, Bryson DeChambeau, Kevin Na, Marc Leishman"
12,4,Par,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Webb Simpson, Patrick Cantlay, Jon Rahm, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Rory McIlroy, Jordan Spieth, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Bernhard Langer, Alex Noren"
12,4,Bogey,"Rickie Fowler, Matt Kuchar, Aaron Wise, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Henrik Stenson, Devon Bling"
12,4,Double Bogey,"Brooks Koepka, Tony Finau, Francesco Molinari, Ian Poulter, Kevin Tway, Cameron Smith, Emiliano Grillo"
12,4,Other,"Corey Conners, J.B. Holmes"
13,1,Eagle,"Webb Simpson, Matt Kuchar, Patrick Reed, Kiradech Aphibarnrat"
13,1,Birdie,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Tony Finau, Patrick Cantlay, Jon Rahm, Ian Poulter, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Jimmy Walker, Haotong Li, Corey Conners, Kevin Na, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Takumi Kanaya, J.B. Holmes, Alex Noren, Kevin O'Connell, Danny Willett, Fred Couples, Jovan Rebula, Vijay Singh"
13,1,Par,"Francesco Molinari, Rickie Fowler, Justin Harding, Justin Thomas, Bubba Watson, Aaron Wise, Adam Scott, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Kevin Tway, Keegan Bradley, Keith Mitchell, Trevor Immelman, Branden Grace, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Stewart Cink, Sergio Garcia, Sandy Lyle, Justin Rose, Mike Weir, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Matt Wallace, Paul Casey, Michael Kim, Angel Cabrera, Jose Maria Olazabal"
13,1,Bogey,"Alvaro Ortiz, Eddie Pepperell, Adam Long, Shane Lowry, Ian Woosnam"
13,1,Double Bogey,Andrew Landry
13,1,Other,Henrik Stenson
13,2,Eagle,"Matt Kuchar, Bubba Watson, Matthew Fitzpatrick, Viktor Hovland, Charles Howell III, Justin Rose"
13,2,Birdie,"Dustin Johnson, Xander Schauffele, Jason Day, Patrick Cantlay, Justin Harding, Ian Poulter, Phil Mickelson, Adam Scott, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Branden Grace, Zach Johnson, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Mike Weir, Danny Willett, Fred Couples, Adam Long, Charl Schwartzel, Shugo Imahira, Shane Lowry, Larry Mize, Paul Casey"
13,2,Par,"Tiger Woods, Brooks Koepka, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Thomas, Aaron Wise, Patton Kizzire, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Bryson DeChambeau, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Haotong Li, Keith Mitchell, Andrew Landry, Marc Leishman, Devon Bling, Bernhard Langer, Brandt Snedeker, Jovan Rebula, Matt Wallace, Vijay Singh, Ian Woosnam"
13,2,Bogey,"Rory McIlroy, Hideki Matsuyama, Tommy Fleetwood, Eddie Pepperell, Cameron Smith, Tyrrell Hatton, Billy Horschel, Takumi Kanaya, Angel Cabrera, Jose Maria Olazabal"
13,2,Double Bogey,Michael Kim
13,3,Eagle,"Webb Simpson, Rickie Fowler, Jon Rahm"
13,3,Birdie,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Francesco Molinari, Justin Harding, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Hideki Matsuyama, Gary Woodland, Alvaro Ortiz, Henrik Stenson, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Marc Leishman, Martin Kaymer, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Zach Johnson, Emiliano Grillo, Alex Noren"
13,3,Par,"Jason Day, Patrick Cantlay, Justin Thomas, Phil Mickelson, Jordan Spieth, Louis Oosthuizen, Charles Howell III, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Kevin Tway, Jimmy Walker, Andrew Landry, Kevin Na, Tyrrell Hatton, Satoshi Kodaira, J.B. Holmes, Bernhard Langer"
13,3,Bogey,"Patton Kizzire, Kiradech Aphibarnrat, Trevor Immelman, Eddie Pepperell, Takumi Kanaya"
13,4,Eagle,"Brooks Koepka, Rory McIlroy, Kevin Na, Emiliano Grillo"
13,4,Birdie,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Harding, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Jordan Spieth, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Trevor Immelman, Martin Kaymer, Devon Bling, Tyrrell Hatton, Billy Horschel, Bernhard Langer"
13,4,Par,"Patrick Cantlay, Matt Kuchar, Phil Mickelson, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Kevin Tway, Corey Conners, Kiradech Aphibarnrat, Marc Leishman, Eddie Pepperell, Cameron Smith, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Alex Noren"
13,4,Bogey,"Thorbjorn Olesen, Branden Grace, J.B. Holmes"
13,4,Double Bogey,Louis Oosthuizen
14,1,Birdie,"Tiger Woods, Brooks Koepka, Si Woo Kim, Kevin Kisner, Corey Conners, Andrew Landry"
14,1,Par,"Dustin Johnson, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Cameron Smith, Branden Grace, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer, Alex Noren, Sergio Garcia, Justin Rose, Mike Weir, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Michael Kim, Jose Maria Olazabal"
14,1,Bogey,"Xander Schauffele, Bubba Watson, Aaron Wise, Matthew Fitzpatrick, Bryson DeChambeau, Tommy Fleetwood, Patrick Reed, Marc Leishman, Trevor Immelman, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Zach Johnson, Satoshi Kodaira, Stewart Cink, Sandy Lyle, Kevin O'Connell, Charl Schwartzel, Shugo Imahira, Matt Wallace, Vijay Singh, Ian Woosnam, Angel Cabrera"
14,1,Double Bogey,Keith Mitchell
14,2,Birdie,"Tiger Woods, Xander Schauffele, Justin Harding, Aaron Wise, Patton Kizzire, Jordan Spieth, Alvaro Ortiz, Bernhard Langer, Mike Weir, Danny Willett, Vijay Singh"
14,2,Par,"Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Jon Rahm, Justin Thomas, Bubba Watson, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Marc Leishman, Trevor Immelman, Cameron Smith, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Alex Noren, Stewart Cink, Justin Rose, Fred Couples, Adam Long, Charl Schwartzel, Shane Lowry, Larry Mize, Angel Cabrera, Jose Maria Olazabal"
14,2,Bogey,"Patrick Cantlay, Matt Kuchar, Ian Poulter, Charley Hoffman, Gary Woodland, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Martin Kaymer, Eddie Pepperell, Devon Bling, Billy Horschel, Satoshi Kodaira, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Shugo Imahira, Matt Wallace, Paul Casey, Michael Kim, Ian Woosnam"
14,2,Double Bogey,"Brandt Snedeker, Jovan Rebula"
14,3,Birdie,"Jason Day, Francesco Molinari, Webb Simpson, Patrick Cantlay, Matt Kuchar, Bubba Watson, Aaron Wise, Patton Kizzire, Kyle Stanley, Viktor Hovland, Hideki Matsuyama, Alvaro Ortiz, Jimmy Walker, Eddie Pepperell, Billy Horschel, Branden Grace, Zach Johnson, Satoshi Kodaira, Bernhard Langer"
