Hole,Round,Result,Players
2,2,Bogey,"Rory McIlroy,ÿJimmy Walker,ÿMarc Leishman,ÿDevon Bling,ÿSatoshi Kodaira,ÿKevin O'Connell,ÿMike Weir,ÿJose Maria Olazabal"
2,2,Double Bogey,"Brooks Koepka,ÿAdam Long"
2,3,Birdie,"Dustin Johnson,ÿBrooks Koepka,ÿXander Schauffele,ÿTony Finau,ÿWebb Simpson,ÿRickie Fowler,ÿJustin Harding,ÿAaron Wise,ÿPhil Mickelson,ÿLucas Bjerregaard,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿThorbjorn Olesen,ÿHideki Matsuyama,ÿGary Woodland,ÿTommy Fleetwood,ÿHenrik Stenson,ÿKevin Tway,ÿHaotong Li,ÿKeith Mitchell,ÿCorey Conners,ÿAndrew Landry,ÿMarc Leishman,ÿMartin Kaymer,ÿCameron Smith,ÿTyrrell Hatton,ÿZach Johnson,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿJ.B. Holmes"
2,3,Par,"Tiger Woods,ÿJason Day,ÿFrancesco Molinari,ÿPatrick Cantlay,ÿJon Rahm,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿPatton Kizzire,ÿAdam Scott,ÿKevin Kisner,ÿRory McIlroy,ÿKyle Stanley,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿAlvaro Ortiz,ÿPatrick Reed,ÿKeegan Bradley,ÿKevin Na,ÿTrevor Immelman,ÿEddie Pepperell,ÿBilly Horschel,ÿBranden Grace,ÿEmiliano Grillo,ÿBernhard Langer,ÿAlex Noren"
2,3,Bogey,"Bryson DeChambeau,ÿRafa Cabrera Bello,ÿJimmy Walker,ÿKiradech Aphibarnrat,ÿDevon Bling"
2,3,Double Bogey,Jordan Spieth
2,4,Birdie,"Brooks Koepka,ÿXander Schauffele,ÿJason Day,ÿPatrick Cantlay,ÿJon Rahm,ÿMatt Kuchar,ÿJustin Thomas,ÿAdam Scott,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿRory McIlroy,ÿThorbjorn Olesen,ÿJordan Spieth,ÿCharley Hoffman,ÿViktor Hovland,ÿKevin Na,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿTyrrell Hatton,ÿBilly Horschel,ÿJ.B. Holmes,ÿAlex Noren"
2,4,Par,"Tiger Woods,ÿDustin Johnson,ÿTony Finau,ÿFrancesco Molinari,ÿWebb Simpson,ÿRickie Fowler,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿLucas Bjerregaard,ÿKevin Kisner,ÿKyle Stanley,ÿBryson DeChambeau,ÿLouis Oosthuizen,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿKevin Tway,ÿJimmy Walker,ÿKeegan Bradley,ÿHaotong Li,ÿKeith Mitchell,ÿCorey Conners,ÿAndrew Landry,ÿKiradech Aphibarnrat,ÿCameron Smith,ÿDevon Bling,ÿBranden Grace,ÿZach Johnson,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿEmiliano Grillo,ÿBernhard Langer"
2,4,Bogey,"Justin Harding,ÿIan Poulter,ÿMarc Leishman"
3,1,Birdie,"Webb Simpson,ÿJon Rahm,ÿJustin Harding,ÿJustin Thomas,ÿLucas Bjerregaard,ÿRory McIlroy,ÿThorbjorn Olesen,ÿLouis Oosthuizen,ÿRafa Cabrera Bello,ÿHenrik Stenson,ÿJimmy Walker,ÿHaotong Li,ÿBilly Horschel,ÿSatoshi Kodaira,ÿAdam Long,ÿShane Lowry,ÿAngel Cabrera"
